price;title;link
1.499;Samsung Galaxy M23 5G 128 GB light blue 6 GB RAM;https://www.mercadolivre.com.br/samsung-galaxy-m23-5g-128-gb-light-blue-6-gb-ram/p/MLB19168787?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB19168787&position=10&search_layout=grid&type=product&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=TODAY_PROMOTION
490;Air fryer Mondial New Practic de 3.5L cor vermelho/inox 127V;https://www.mercadolivre.com.br/air-fryer-mondial-new-practic-de-35l-cor-vermelhoinox-127v/p/MLB19693315?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB19693315&position=11&search_layout=grid&type=product&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=TODAY_PROMOTION
863;Pc Computador Cpu Intel I5 2400 + Ssd 240gb, 8gb Memória Ram;https://produto.mercadolivre.com.br/MLB-1937062692-pc-computador-cpu-intel-i5-2400-ssd-240gb-8gb-memoria-ram-_JM?hide_psmb=true#position=35&search_layout=grid&type=item&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=TODAY_PROMOTION
89;Tapete 2,00x1,50 Costa Oro Shaggy Mega Promoção Peludo;https://produto.mercadolivre.com.br/MLB-1813612114-tapete-200x150-costa-oro-shaggy-mega-promoco-peludo-_JM?hide_psmb=true#position=36&search_layout=grid&type=item&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=TODAY_PROMOTION
189;Parafusadeira Furadeira 12v Bivolt Pfe-12ev Maleta Kit Evald;https://produto.mercadolivre.com.br/MLB-1748634431-parafusadeira-furadeira-12v-bivolt-pfe-12ev-maleta-kit-evald-_JM?hide_psmb=true#position=37&search_layout=grid&type=item&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=TODAY_PROMOTION
2.649;"Smart TV Samsung UN50AU7700GXZD LED 4K 50"" 100V/240V";https://www.mercadolivre.com.br/smart-tv-samsung-un50au7700gxzd-led-4k-50-100v240v/p/MLB18464003?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB18464003&position=12&search_layout=grid&type=product&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=TODAY_PROMOTION
1.099;Samsung Galaxy A13 Dual SIM 128 GB preto 4 GB RAM;https://www.mercadolivre.com.br/samsung-galaxy-a13-dual-sim-128-gb-preto-4-gb-ram/p/MLB19077030?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB19077030&position=13&search_layout=grid&type=product&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=TODAY_PROMOTION
139;Suplemento em pó Integralmédica  Hardcore Creatina Hardcore creatina Creatina Hardcore sabor  neutro em pote de 300g;https://www.mercadolivre.com.br/suplemento-em-po-integralmedica-hardcore-creatina-hardcore-creatina-creatina-hardcore-sabor-neutro-em-pote-de-300g/p/MLB6204289?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB6204289&position=14&search_layout=grid&type=product&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=TODAY_PROMOTION
579;Impressora Térmica Epson Tm-t20x Não Fiscal Usb - C31ch26031 Cor Preto Voltagem Bivolt;https://www.mercadolivre.com.br/impressora-termica-epson-tm-t20x-no-fiscal-usb-c31ch26031-cor-preto-voltagem-bivolt/p/MLB19689021?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB19689021&position=15&search_layout=grid&type=product&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=DEAL_OF_THE_DAY
204;Câmera Externa Ip Prova D'água Infravermelho Externa Wifi Hd;https://produto.mercadolivre.com.br/MLB-1551291161-cmera-externa-ip-prova-dagua-infravermelho-externa-wifi-hd-_JM?hide_psmb=true#position=38&search_layout=grid&type=item&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=TODAY_PROMOTION
